model,precision,recall,f1,accuracy,roc_auc,tn_fp_fn_tp
RandomForest,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9166666666666666,0.9327731092436975,"[6, 1, 1, 16]"
SVM,0.9375,0.8823529411764706,0.9090909090909091,0.875,0.8907563025210083,"[6, 1, 2, 15]"
