athlete_id,gender,apto_genero,esforco_genero_hr,best_pred_marathon_s,target_s_gender,v_pred_mps,v_needed_mps,esforco_extra_pct_genero,hr_p80,hr_p90,hr_needed_bpm,num_runs,total_km,longest_run_km,median_pace_s_per_km,best_pace_s_per_km,avg_hr_bpm,mean_elev_gain_per_km,share_runs_ge_15k,slope_speed_mps_per_week,weeks_speed_goal,weeks_long_run,weeks_to_target_genero_est_hr
10305317,F,0,Moderado,13839.134495226623,13500,3.0489623476492587,3.1255555555555556,2.5121073720490554,164.2,166.5,165.7446451231069,220,1930.1971,21.0668,380.7221653881978,269.5267998555114,155.7,9.410489737032554,0.045454545454545456,0.01,7.658554935136185,5.0,10.0
10446972,M,0,Baixo,10897.253943045476,10800,3.8720764167314323,3.9069444444444446,0.9004994726433023,151.4,155.8,151.15852283499981,595,7747.3455,72.81280000000001,317.431797083221,210.80986121684137,144.13333333333333,23.61313304021358,0.2638655462184874,0.01,3.4864541258886343,0.0,4.0
10814597,M,1,Já atinge,10713.419805964219,10800,3.9385183036055227,3.9069444444444446,-0.8016684632942748,,,,261,2827.043,32.954,332.1456086286595,238.64306784660766,,26.70794183180093,0.16091954022988506,0.01,0.0,0.0,0.0
10825360,M,0,Moderado,11584.729974148822,10800,3.642294649435732,3.9069444444444446,7.2660182791557615,179.78,183.34,184.4994070488283,799,9023.5192,84.278,366.6488314938922,222.27151730257322,169.0066561014263,43.052426818131,0.16896120150187735,0.01,26.4623332675445,0.0,24.0
11088529,F,1,Já atinge,12991.689794116168,13500,3.247845404922597,3.1255555555555556,-3.765260784324674,156.24,159.02,152.55023507381387,436,4427.9775,25.5772,351.2632605039403,253.3851722751039,149.57260726072607,30.369372924772087,0.10091743119266056,0.01,0.0,3.0,0.0
11284478,M,0,Moderado,12450.190321627522,10800,3.389104817675121,3.9069444444444446,15.279540015069651,162.6,169.74,167.78070835415306,500,5267.4648,43.706900000000005,387.9388708466688,239.69694990529686,153.05993265993266,27.95775683209122,0.136,0.01,51.778784798452506,0.0,24.0
11348733,F,1,Já atinge,11947.720322417987,13500,3.531636066240003,3.1255555555555556,-11.498367982088983,149.12,151.7,145.44013485915076,459,3756.631,25.679,356.9426751592357,176.05097868108896,142.58513189448442,10.69341119742663,0.030501089324618737,0.01,0.0,3.0,0.0
11910984,M,1,Já atinge,7508.334470161471,10800,5.619754975978391,3.9069444444444446,-30.478384535541934,156.06,157.85999999999999,148.48568004302922,407,4420.2502,63.136199999999995,317.27099236641226,163.57235858610215,148.80277777777778,25.90124875736672,0.11056511056511056,0.01,0.0,0.0,0.0
12021072,M,0,Moderado,11852.60911687021,10800,3.5599756630751,3.9069444444444446,9.746380711761208,161.3,164.5,165.5501427172628,503,5427.5738,61.5578,337.9698705299129,252.53857312409338,150.24285714285713,32.50437608052423,0.1550695825049702,0.01,34.69340879605487,0.0,24.0
12642956,M,1,Já atinge,6925.4555614920455,10800,6.0927399830011115,3.9069444444444446,-35.87541146766624,169.06,175.36,180.53928938202225,416,5776.3568000000005,104.321,353.56369022085903,159.40128076537303,154.4726368159204,37.712074849669946,0.2692307692307692,0.01,0.0,0.0,0.0
12701438,M,0,Moderado,11831.891518256773,10800,3.5662091673924268,3.9069444444444446,9.554551094970117,163.14,167.82000000000002,172.48649595071942,247,2535.7797,41.660599999999995,314.84257871064466,223.2776167273176,152.94608294930876,17.095846299266455,0.10526315789473684,0.01,34.070120693132466,0.0,24.0
12740383,F,1,Já atinge,11404.42102710163,13500,3.699880940884872,3.1255555555555556,-15.522807206654587,155.74,161.81,155.09760973258162,629,6219.6829,90.281,368.277522541336,201.79820179820183,149.0446511627907,37.78816440947496,0.1573926868044515,0.01,0.0,0.0,0.0
12902518,M,1,Já atinge,9701.270908852788,10800,4.349430131004322,3.9069444444444446,-10.173417510622329,152.5,158.0,151.23284145789953,365,5610.0636,165.0,311.58809703312784,201.39487500979547,143.91040462427745,17.755574107929895,0.3150684931506849,0.01,0.0,0.0,0.0
13275838,M,1,Já atinge,10443.504347206452,10800,4.040310474068678,3.9069444444444446,-3.3008856740143386,157.6,167.8,158.83900890406306,412,3912.6916,77.5837,315.15176864018827,170.41453452889536,138.7648275862069,15.169915257312892,0.13349514563106796,0.01,0.0,0.0,0.0
13435425,M,1,Já atinge,8371.803448779983,10800,5.040132661756297,3.9069444444444446,-22.48330140018534,163.7,176.6,140.94956097806585,1211,15767.5388,60.0,273.7550219564608,176.79282868525894,142.5423076923077,6.0193858536755265,0.30800990916597853,0.01,0.0,0.0,0.0
13829937,F,1,Já atinge,12424.129721805532,13500,3.396213734467353,3.1255555555555556,-7.969409468107173,162.32000000000002,167.01,154.6695809274138,562,5710.6946,44.0793,352.5482797520325,259.3873517786561,151.44152046783626,16.47585917131692,0.11743772241992882,0.01,0.0,0.0,0.0
13881863,M,1,Já atinge,10359.465892418384,10800,4.073086434975434,3.9069444444444446,-4.079019514644594,153.46,162.79000000000002,152.6924556605647,412,5017.986,56.3014,321.3508116953437,212.9221732745962,144.83954802259885,14.787625951925735,0.16990291262135923,0.01,0.0,0.0,0.0
13892788,M,0,Alto,13171.891750204564,10800,3.2034122964413747,3.9069444444444446,21.96196065004226,157.3,160.6,160.8662495138822,237,2779.1932,42.4657,321.93389034579496,255.67254931039596,151.30769230769232,12.821850600382874,0.16455696202531644,0.01,70.34618018228876,0.0,24.0
