athlete_id,gender,num_runs,total_km,longest_run_km,median_pace_s_per_km,best_pace_s_per_km,avg_hr_bpm,share_runs_ge_15k,mean_elev_gain_per_km,best_pred_marathon_s,target_s_gender,v_pred_mps,v_needed_mps,apto_genero,esforco_extra_pct_genero
12701438,M,247,2535.7797,41.660599999999995,314.84257871064466,223.2776167273176,152.94608294930876,0.10526315789473684,17.095846299266455,11831.891518256773,10800,3.5662091673924268,3.9069444444444446,0,9.554551094970117
12740383,F,629,6219.6829,90.281,368.277522541336,201.79820179820183,149.0446511627907,0.1573926868044515,37.78816440947496,11404.42102710163,13500,3.699880940884872,3.1255555555555556,1,-15.522807206654587
12902518,M,365,5610.0636,165.0,311.58809703312784,201.39487500979547,143.91040462427745,0.3150684931506849,17.755574107929895,9701.270908852788,10800,4.349430131004322,3.9069444444444446,1,-10.173417510622329
13275838,M,412,3912.6916,77.5837,315.15176864018827,170.41453452889536,138.7648275862069,0.13349514563106796,15.169915257312892,10443.504347206452,10800,4.040310474068678,3.9069444444444446,1,-3.3008856740143386
13435425,M,1211,15767.5388,60.0,273.7550219564608,176.79282868525894,142.5423076923077,0.30800990916597853,6.0193858536755265,8371.803448779983,10800,5.040132661756297,3.9069444444444446,1,-22.48330140018534
13829937,F,562,5710.6946,44.0793,352.5482797520325,259.3873517786561,151.44152046783626,0.11743772241992882,16.47585917131692,12424.129721805532,13500,3.396213734467353,3.1255555555555556,1,-7.969409468107173
13881863,M,412,5017.986,56.3014,321.3508116953437,212.9221732745962,144.83954802259885,0.16990291262135923,14.787625951925735,10359.465892418384,10800,4.073086434975434,3.9069444444444446,1,-4.079019514644594
13892788,M,237,2779.1932,42.4657,321.93389034579496,255.67254931039596,151.30769230769232,0.16455696202531644,12.821850600382874,13171.891750204564,10800,3.2034122964413747,3.9069444444444446,0,21.96196065004226
14019837,M,234,2805.6876,67.968,323.1941315620803,258.6095384033672,142.7022727272727,0.23931623931623933,18.67912878112303,11893.001820836716,10800,3.5478847675003067,3.9069444444444446,0,10.120387229969605
14474051,F,354,3792.2049,44.0935,389.3223785404549,164.87720892417323,145.31041666666667,0.1497175141242938,27.35727702899176,13883.917251070527,13500,3.039127879903385,3.1255555555555556,0,2.8438314894113064
14588097,F,513,5895.3647,42.822300000000006,359.77951926482206,187.0102255351682,151.4992805755396,0.16569200779727095,7.8104582741081305,8340.900526937392,13500,5.0588062840132135,3.1255555555555556,1,-38.21555165231562
15002603,F,236,1677.014,20.0289,379.85600722185904,275.1486682324722,154.67471264367816,0.0211864406779661,10.475881537065286,12656.969629428679,13500,3.3337363709787646,3.1255555555555556,1,-6.24466941163942
15355766,M,210,2373.1938,35.128699999999995,305.8167776729916,238.61703806301176,152.6060606060606,0.20476190476190476,20.781657191250037,10890.476971268903,10800,3.874485948716317,3.9069444444444446,0,0.8377497339713307
15515123,M,457,6072.8471,177.026,344.04806143936577,208.77316443818907,146.8696485623003,0.1575492341356674,30.110308556920526,10275.237105426422,10800,4.106474582247502,3.9069444444444446,1,-4.858915690496089
15532293,F,175,1900.7405,23.2619,354.2949911664996,296.3833989115523,168.38584905660377,0.08571428571428572,9.858420968038509,13668.690184004212,13500,3.0869819589135696,3.1255555555555556,0,1.2495569185497144
15655281,,344,3478.7454,43.571400000000004,354.15906678023043,229.32422542083435,154.08375634517768,0.11627906976744186,19.952250601610572,11776.367367651499,13500,3.5830234131371816,3.1255555555555556,1,-12.767649128507417
16021442,M,288,3640.9135,42.3356,309.34741516711614,245.78729212456972,158.96455223880596,0.1840277777777778,5.891570892854225,11573.420349519618,10800,3.645853924397674,3.9069444444444446,0,7.161299532589055
16378210,M,573,5907.1045,43.351,348.22859177496883,216.36968866261992,148.45380333951763,0.15706806282722513,19.818356015201694,9940.799619564752,10800,4.244628361379994,3.9069444444444446,1,-7.955559078104148
17199625,M,227,2725.8445,76.5517,349.6829702320278,230.01547189272821,148.93475177304964,0.15859030837004406,21.443042697409922,11658.265260652744,10800,3.6193206327540284,3.9069444444444446,0,7.946900561599492
17639804,M,728,9720.645,218.95,333.31279434319265,221.78065508621245,148.15073529411765,0.22527472527472528,30.46618820047435,10597.239810803321,10800,3.981697192224002,3.9069444444444446,1,-1.8774091592285027
17666737,M,346,4320.4963,135.813,356.43128512438795,233.5706834777087,149.56,0.1907514450867052,29.96294661796146,11109.51333896965,10800,3.7980961643017723,3.9069444444444446,0,2.865864249718977
1776170,M,647,7373.8665,73.8689,340.932197645783,210.911971482325,154.48995815899582,0.19783616692426584,24.834311822705224,10574.049794861165,10800,3.99042947769228,3.9069444444444446,1,-2.0921315290632867
18042525,M,214,2421.1778,20.5148,349.93456727889105,214.00397236131704,143.73732057416268,0.12149532710280374,16.597087582745885,12312.338449247185,10800,3.4270500420316123,3.9069444444444446,0,14.003133789325783
18223349,M,476,5629.1842,41.7117,314.82533216050507,202.16564911876512,150.82249388753056,0.18907563025210083,23.877562933541956,10330.51890632274,10800,4.084499567023179,3.9069444444444446,1,-4.347047163678316
18736169,M,654,6985.5422,32.0,340.8045693942678,180.71915685058897,148.56440329218108,0.18960244648318042,30.063349985918055,10344.058267634771,10800,4.079153356282101,3.9069444444444446,1,-4.221682707085441
18845906,F,433,6490.4279,117.685,340.4940923737916,172.61500648831674,147.30434782608697,0.3533487297921478,32.85407422829549,6853.4035476518675,13500,6.1567948985664165,3.1255555555555556,1,-49.23404779517135
19023831,M,758,8233.638,78.9932,311.45027361690245,229.10965442627125,138.0355430183357,0.19920844327176782,9.51514992522139,10418.644790044375,10800,4.0499509149519906,3.9069444444444446,1,-3.5310667588483913
19048091,M,235,2367.8758,23.5678,340.8130081300813,243.24018554135083,144.50531914893617,0.1574468085106383,10.228999341941838,12866.407858244707,10800,3.2794701104521358,3.9069444444444446,0,19.13340609485841
19741163,M,425,5248.7939,99.9835,313.55625301786574,181.92001680277244,155.29912023460412,0.21176470588235294,29.657575238380005,7288.890702903068,10800,5.788946730013978,3.9069444444444446,1,-32.510271269416045
19905281,F,170,1928.7466,42.790800000000004,330.32613142957354,238.17340695418594,157.43882352941176,0.18823529411764706,27.022004860565925,10953.075143484553,13500,3.852342784765768,3.1255555555555556,1,-18.866110048262563
